date,name,type,year
2025-11-02,Sunday,Local Holiday Optional,2025
2025-11-05,Guru Nanak Jayanti,Optional Holiday,2025
2025-11-08,Saturday,Local Holiday,2025
2025-11-09,Sunday,Local Holiday Optional,2025
2025-11-11,Phalgunanda Jayanti,Optional Holiday,2025
2025-11-15,Saturday,Local Holiday,2025
2025-11-16,Sunday,Local Holiday Optional,2025
2025-11-22,Saturday,Local Holiday,2025
2025-11-23,Sunday,Local Holiday Optional,2025
2025-11-29,Saturday,Local Holiday,2025
2025-11-30,Sunday,Local Holiday Optional,2025
2025-12-03,International Day of Disabled Persons,Optional Holiday,2025
2025-12-04,Udhauli Parva,Optional Holiday,2025
2025-12-06,Saturday,Local Holiday,2025
2025-12-07,Sunday,Local Holiday Optional,2025
2025-12-13,Saturday,Local Holiday,2025
2025-12-14,Sunday,Local Holiday Optional,2025
2025-12-20,Saturday,Local Holiday,2025
2025-12-21,December Solstice,Season,2025
2025-12-25,Christmas Day,Optional Holiday,2025
2025-12-27,Saturday,Local Holiday,2025
2025-12-28,Sunday,Local Holiday Optional,2025
2025-12-30,Tamu Lhosar,Optional Holiday,2025
